0,1,2,3,4,5,/rlhf-fixed-llama-instruct-bs-16_correct,/rlhf-fixed-llama-instruct-bs-16_choiceA_probs,/rlhf-fixed-llama-instruct-bs-16_choiceB_probs,/rlhf-fixed-llama-instruct-bs-16_choiceC_probs,/rlhf-fixed-llama-instruct-bs-16_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.20533279,0.3690513,0.24508414,0.18053178
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.3196775,0.25558132,0.25419578,0.1705454
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.34075713,0.30348003,0.22153369,0.13422915
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,False,0.25348794,0.2839537,0.3034791,0.15907925
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.2982215,0.36880267,0.18964718,0.1433286
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,False,0.27799186,0.3251598,0.29641846,0.10042996
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,True,0.20324832,0.2682085,0.28184456,0.24669862
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.18576816,0.30266488,0.29483768,0.21672936
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.18568213,0.40642583,0.2737883,0.13410378
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.20949689,0.36037374,0.281067,0.14906245
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.26576865,0.27796698,0.28994104,0.1663233
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.2679236,0.2564882,0.2556886,0.2198996
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.19159609,0.27001968,0.28454125,0.25384295
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.096965306,0.25688607,0.29696378,0.3491848
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,True,0.238683,0.40393022,0.24379063,0.11359612
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,True,0.18183458,0.32398766,0.27175874,0.22241898
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,True,0.3329899,0.29285762,0.24769366,0.12645888
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.22361371,0.4223208,0.2303769,0.12368853
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.33162576,0.2984178,0.24028079,0.12967567
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.17380291,0.23492447,0.29263934,0.29863322
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.19635615,0.37124225,0.25245687,0.17994474
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.23923434,0.3484353,0.22915368,0.18317665
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,40%,55%,75%,D,False,0.24131207,0.36151654,0.2613858,0.13578556
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B,True,0.22190838,0.36459234,0.26674196,0.14675727
