0,1,2,3,4,5,/rlhf-fixed-llama-v3-bs-16_correct,/rlhf-fixed-llama-v3-bs-16_choiceA_probs,/rlhf-fixed-llama-v3-bs-16_choiceB_probs,/rlhf-fixed-llama-v3-bs-16_choiceC_probs,/rlhf-fixed-llama-v3-bs-16_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.28477886,0.22236376,0.2420873,0.25077012
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.28966203,0.2780339,0.22298677,0.20931733
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,True,0.22495423,0.18903919,0.28566587,0.30034068
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.23539966,0.2127608,0.28204513,0.2697944
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.19471551,0.27361417,0.2903406,0.24132968
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.20435774,0.19656865,0.3061939,0.29287973
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,True,0.22367692,0.22306216,0.30506372,0.24819724
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.20664048,0.19215693,0.34098706,0.26021555
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.26833197,0.23046008,0.26344728,0.2377607
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.22132547,0.30287632,0.2621356,0.21366256
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,True,0.25568143,0.2080456,0.29567268,0.24060036
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.19118878,0.23968832,0.30828878,0.2608341
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.24377054,0.22756654,0.2567095,0.27195346
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.23182173,0.23680104,0.27216983,0.25920743
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,True,0.22361697,0.22273073,0.32104316,0.23260915
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.26104826,0.24121246,0.28527573,0.21246363
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.18437447,0.20434685,0.3510765,0.26020217
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.2937638,0.21044986,0.26697853,0.22880791
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.29293668,0.22103672,0.24475169,0.24127495
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.21457073,0.24186113,0.3064376,0.23713063
