0,1,2,3,4,5,/rlhf-fixed-llama-v3-bs-16_correct,/rlhf-fixed-llama-v3-bs-16_choiceA_probs,/rlhf-fixed-llama-v3-bs-16_choiceB_probs,/rlhf-fixed-llama-v3-bs-16_choiceC_probs,/rlhf-fixed-llama-v3-bs-16_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.24777159,0.34031218,0.23087451,0.1810417
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.3394993,0.26097676,0.21070504,0.18881896
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.33813286,0.29940346,0.21286029,0.14960346
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,False,0.23816726,0.31817338,0.24402599,0.19963335
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.29799053,0.3504596,0.18374008,0.16780986
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,False,0.2676558,0.32505667,0.27990708,0.12738049
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.25352302,0.25906727,0.2531664,0.23424338
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.22401617,0.2850221,0.27871448,0.21224722
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.20703956,0.36905202,0.24626498,0.17764345
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.2368678,0.33015305,0.25355026,0.17942888
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.2848111,0.264795,0.26981324,0.1805807
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.31382066,0.24948199,0.22493167,0.21176572
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,False,0.23019873,0.26835507,0.25717092,0.2442753
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.09359653,0.21811962,0.3016991,0.38658476
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,True,0.26223728,0.34320992,0.23538247,0.15917027
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,True,0.23619625,0.30787706,0.24404743,0.21187927
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,True,0.3420142,0.28662112,0.22634666,0.14501804
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.2641375,0.36100632,0.2163378,0.1585184
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.34510925,0.28833967,0.20698728,0.15956374
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.21348186,0.24940045,0.26302928,0.2740884
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.23669241,0.32340974,0.24366286,0.19623502
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.26976517,0.31105083,0.22468813,0.19449587
