0,1,2,3,4,5,/shf-v4-llama-instruct-10k-kl-0.35_correct,/shf-v4-llama-instruct-10k-kl-0.35_choiceA_probs,/shf-v4-llama-instruct-10k-kl-0.35_choiceB_probs,/shf-v4-llama-instruct-10k-kl-0.35_choiceC_probs,/shf-v4-llama-instruct-10k-kl-0.35_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.30529964,0.24588853,0.25202274,0.19678906
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.26020184,0.29621252,0.25746387,0.18612179
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.22622004,0.18633783,0.3023973,0.28504482
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.20892812,0.24831943,0.31860527,0.22414714
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.20872173,0.28224218,0.31564137,0.19339463
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.18023887,0.22140771,0.34631598,0.25203747
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,True,0.24083471,0.2438233,0.33854094,0.17680103
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.19248621,0.19505072,0.40719885,0.20526429
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.28737482,0.24898696,0.28378746,0.1798507
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.22538105,0.31725374,0.28820902,0.16915616
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,True,0.23032302,0.22906741,0.3267599,0.21384974
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.2050747,0.25188032,0.35837874,0.18466625
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.21835321,0.25682405,0.28718415,0.23763852
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.2219973,0.25210348,0.30020198,0.22569722
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,True,0.20779811,0.24201329,0.37458023,0.17560844
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.23700625,0.25133318,0.3269735,0.18468702
