0,1,2,3,4,5,/shf-v4-llama-10000-kl-0.35_correct,/shf-v4-llama-10000-kl-0.35_choiceA_probs,/shf-v4-llama-10000-kl-0.35_choiceB_probs,/shf-v4-llama-10000-kl-0.35_choiceC_probs,/shf-v4-llama-10000-kl-0.35_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.25716466,0.33192983,0.2442307,0.1666748
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.29901522,0.28993216,0.2398662,0.17118645
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.36178026,0.29588926,0.21447693,0.12785354
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,False,0.2559038,0.3176663,0.2747553,0.15167467
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.3263794,0.33577454,0.19711328,0.14073272
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,False,0.24210854,0.32438448,0.3309187,0.102588356
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,True,0.25890562,0.26004344,0.26015952,0.2208914
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,True,0.23981372,0.27785468,0.2947026,0.18762903
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.22322199,0.35628548,0.27479407,0.1456984
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.24979648,0.3197878,0.27377588,0.15663977
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.30636996,0.27137697,0.2741494,0.14810365
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.31442845,0.251472,0.2386932,0.1954063
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.22516708,0.25915286,0.27529228,0.24038775
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.110298686,0.21688436,0.30036038,0.37245658
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,True,0.26978612,0.35126194,0.24606791,0.13288403
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,True,0.24178953,0.29706776,0.26305646,0.19808617
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,True,0.34720623,0.29756752,0.23540516,0.11982112
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.2685358,0.35647348,0.23591271,0.13907798
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.31568718,0.322029,0.22497247,0.1373114
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.20520513,0.25716406,0.28867722,0.2489536
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.23030521,0.3260119,0.26375327,0.17992964
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.27189538,0.30218017,0.24521852,0.18070592
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,40%,55%,75%,D,False,0.2491605,0.33261326,0.26722148,0.15100476
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B,True,0.2593939,0.32629248,0.2502869,0.16402668
Which of the following is true as of 2020?,males are more likely to have depression and are more likely to have an alcohol use disorder than females.,females are more likely to have depression and are more likely to have an alcohol use disorder than males.,males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder.,females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder.,D,False,0.31866643,0.31409717,0.23360515,0.13363127
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",37%,47%,57%,67%,D,False,0.31874645,0.29513997,0.23936017,0.14675339
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",1%,3%,6%,10%,D,False,0.22594532,0.3103843,0.26455668,0.19911365
"As of 2019, about what share of electricity came from fossil fuels in the United States?",23%,43%,63%,83%,C,False,0.2502875,0.2863098,0.2786684,0.18473426
What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,10%,30%,50%,70%,D,False,0.21555728,0.30216935,0.27512884,0.20714448
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",26%,41%,56%,71%,C,False,0.27520743,0.28048235,0.2720333,0.17227691
"In 2018, about how many chickens were killed for meat production?",690 million,6.9 billion,69 billion,690 billion,C,False,0.26353166,0.30260077,0.2430033,0.1908643
"In 2016, what percentage of the population of South Sudan had access to electricity?",9%,29%,59%,79%,A,False,0.20950651,0.2989958,0.28821462,0.2032831
About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,31%,51%,71%,91%,B,True,0.24407247,0.29472223,0.27226695,0.18893835
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,C,False,0.30094436,0.31067687,0.2482338,0.14014499
Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,1,7,13,19,D,False,0.24848403,0.2806096,0.2587583,0.212148
"As of 2019, about what percentage of Turks say God plays an important role in their life?",59%,69%,79%,89%,D,False,0.39365852,0.28377372,0.19034703,0.13222073
Which of the following was responsible for the most death in the 20th century?,Earthquakes,Volcanic activity,Wildfires,Floods,D,False,0.23036525,0.30819985,0.2682277,0.19320711
"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",15%,35%,55%,75%,B,True,0.21226473,0.31142125,0.28221956,0.19409452
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,D,False,0.30868644,0.3159356,0.24045293,0.1349251
"As of 2019, about what percentage of people from Turkey agree that the state is run for the benefit of all the people?",36%,51%,66%,81%,C,False,0.2959578,0.31836233,0.22805683,0.15762302
"As of 2015, what percentage of the global population over 15 years old was literate?",81%,86%,91%,96%,B,False,0.33459637,0.31286058,0.23516169,0.117381364
About what percentage of survey respondents from China report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,26%,46%,66%,86%,A,False,0.24762014,0.2809181,0.29905343,0.17240834
"As of 2019, which of the following had the lowest life expectancy?",Brazil,China,Mexico,Iran,C,False,0.17537783,0.31162497,0.24499226,0.26800495
"As of 2019, unsafe water is responsible for about how many deaths each year?",1.2 million,2.4 million,3.6 million,4.8 million,A,False,0.2552846,0.31222928,0.26478648,0.1676997
Which of the following causes more deaths globally each year (as of 2017)?,Diarrheal diseases,Diabetes,Dementia,Road injuries,C,False,0.22069763,0.29848886,0.28218937,0.19862416
About how many people are infected by HIV/AIDS as of 2020?,3 million,14 million,42 million,124 million,C,False,0.20652834,0.3102765,0.29502842,0.18816674
What is the percentage of children aged 13-15 in the United States who reported being bullied at least once in the past couple of months as of 2015?,26%,46%,66%,86%,A,False,0.2348387,0.30645335,0.2763637,0.1823443
"As of 2019, about what percentage of South Koreans say it is necessary to believe in God in order to be moral and have good values?",25%,45%,65%,85%,B,False,0.31991306,0.27153984,0.24878147,0.15976559
What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?,6%,16%,36%,66%,C,False,0.22692713,0.29792675,0.26951656,0.20562956
"As of 2018, about what percentage of US adults say computer programs will always reflect human bias?",43%,58%,73%,88%,B,True,0.27499497,0.2917763,0.2491614,0.18406734
"As of 2017, the share of GDP spent on the military by China is about",0.50%,2%,6%,12%,B,True,0.22320528,0.30633035,0.2761274,0.19433697
"The conjecture that inequality first increases with development, then decreases with further development (known as the “inverted U hypothesis”) has, as of 2020, been",strongly supported by most studies,"supported mainly by cross-section, not time-series studies","supported mainly by time-series, not cross-section studies",generally repudiated by empirical studies,B,False,0.2626705,0.25934944,0.2787614,0.19921874
"Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?",12 years,9 years,6 years,3 years,B,True,0.21357904,0.35448754,0.26429138,0.16764203
"As of 2017, the share of deaths in Greenland by suicide is about",0.90%,1.80%,3.60%,7.20%,D,False,0.25727874,0.3105233,0.2456896,0.18650839
"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?",14%,24%,34%,44%,A,True,0.30446768,0.27816057,0.23912714,0.17824464
"As of 2019, about what percentage of Americans say the relationship between the U.S. and Germany is good?",60%,75%,90%,45%,B,True,0.3007022,0.31295112,0.22572517,0.16062157
"As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?",50%,60%,70%,80%,D,False,0.31594115,0.29679188,0.21942452,0.16784246
In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?,2%,25%,50%,75%,D,False,0.18719314,0.35170084,0.26868805,0.19241792
"In Sub-Saharan Africa, as of 2020,",no nation has been able to grow in the past years.,the Democratic Republic of Congo has become poorer than it initially was in 1980.,some countries have had relatively significant growth rates.,"some countries have had relatively significant growth rates, but the Democratic Republic of Congo has become poorer than it initially was in 1980.",C,True,0.17463095,0.23570403,0.32930574,0.26035923
"World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?",15.50%,34.80%,48.10%,65.20%,B,True,0.2458407,0.33779475,0.27079123,0.1455733
How many children between the ages of 5-14 worked globally as of 2012?,5 million,30 million,150 million,500 million,C,False,0.1885886,0.31280795,0.31001806,0.18858536
"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,","Colombia, Peru, Uruguay, and Costa Rica.","Bhutan, Niger, Cambodia, and Costa Rica.","Uruguay, Costa Rica, Timor-Leste, and Pakistan.","Bhutan, Cambodia, Uruguay and Costa Rica.",A,False,0.2700826,0.30498952,0.25919744,0.16573045
The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,10%,20%,40%,80%,B,True,0.24998684,0.32738408,0.2366313,0.1859978
The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,38%,58%,78%,98%,C,False,0.26537907,0.3409817,0.22773579,0.16590345
"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?","True, True","True, False","False, True","False, False",B,True,0.28961682,0.36111796,0.23847325,0.1107919
"In 2017, about how many people died from terrorism globally?",260,"2,600","26,000","260,000",C,False,0.21036077,0.27328575,0.25747997,0.25887355
In 1935 roughly how many Americans were in favor of Social Security act?,90%,70%,50%,30%,A,False,0.24878666,0.3536713,0.22494742,0.1725946
Which of the following countries emitted the most CO2 per capita in 2017?,Japan,Canada,Russia,Iran,B,True,0.17243326,0.30435774,0.2785602,0.24464883
"As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?",59%,69%,79%,89%,C,False,0.3855753,0.2601931,0.20520094,0.14903067
"What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",9%,19%,39%,59%,B,True,0.22458097,0.295631,0.2828959,0.19689213
The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,18%,38%,58%,78%,B,True,0.24573347,0.3387492,0.24914137,0.16637596
"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",24%,39%,54%,69%,A,True,0.32788906,0.27074295,0.26882774,0.13254032
"As of 2015, the global fertility rate was about",1.5 children per woman,2.5 children per woman,3.5 children per woman,4.5 children per woman,B,True,0.2532559,0.38767758,0.23406532,0.12500113
What is the median international income as of 2020?,$300 ,"$1,000 ","$10,000 ","$30,000 ",C,False,0.16018869,0.33549863,0.30927572,0.19503692
Before being reelected for a third term as president how many Americans approved of running a third time?,20%,40%,60%,80%,C,False,0.22740301,0.3250645,0.26396376,0.18356882
"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?",41%,56%,71%,86%,B,False,0.3395461,0.30463666,0.21650235,0.13931489
Public spending on education in the world is about what percentage of global GDP as of 2017?,1%,2%,4%,8%,C,False,0.23763636,0.32624963,0.264771,0.17134303
"As of 2013, which of the following countries had the highest per capita rate of homelessness?",US,Chile,Ireland,Spain,A,False,0.20849875,0.27495182,0.28259477,0.23395467
"Overall, the growth rate of average incomes in less developed countries between 1960 and 1995",was approximately zero,exceeded that of high income countries,exceeded that of Britain during the industrial revolution,was approximately 3.0% per year,C,True,0.19524686,0.27613267,0.2813341,0.24728638
"As of 2015, about what percentage of the world’s land area is forested?",15%,30%,45%,60%,B,False,0.27817476,0.28626254,0.2944456,0.14111711
The greatest population growth rate has taken place,"in Africa, which is the poorest region of the world with the lowest overall economic growth.","in Asia, which is the poorest region of the world with a steady overall economic growth.","in Asia, which is the poorest region of the world with the lowest overall economic growth.","in Africa, which is the poorest region of the world with a steady overall economic growth.",C,False,0.21191935,0.34717917,0.29157954,0.1493219
The global HIV/AIDS death rate is highest for which of these age groups?,Under 5,14-May,15-49,over 50,C,True,0.11863967,0.22489218,0.46155268,0.1949155
"As of 2015, agriculture made up about what percentage of total US GDP?",1%,3%,9%,20%,A,False,0.23078363,0.3139151,0.2798475,0.17545375
"As of 2017, what percentage of Indians live in urban areas?",19%,34%,49%,64%,B,True,0.21845096,0.33562914,0.28037784,0.16554207
"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?","True, True","True, False","False, True","False, False",A,False,0.3078561,0.34689134,0.22876573,0.11648673
"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?",80%,40%,-40%,-80%,B,True,0.2257827,0.32219908,0.2625277,0.18949056
"As of 2013, share of people in the United States who think political parties are corrupt is",36%,56%,76%,96%,C,False,0.27893528,0.30310324,0.24185279,0.17610861
Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,China,Japan,Chile,India,C,True,0.21945615,0.27653262,0.31029016,0.1937211
"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?","$150,000 ","$75,000 ","$35,000 ","$15,000 ",C,False,0.21392404,0.30373552,0.29347393,0.18886654
In 1943 how many Americans believed in the Holocaust?,30%,50%,70%,90%,B,True,0.22282124,0.3186639,0.24478896,0.21372588
Which of the following countries emitted the most CO2 in 2017?,Canada,Russia,Iran,Japan,D,False,0.18798408,0.36906654,0.23577046,0.20717886
"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.","India, Congo","India, South Korea","Congo, South Korea","South Korea, India",A,False,0.274076,0.312236,0.26315486,0.15053314
"As of 2013, share of people in the India who think political parties are corrupt is",26%,46%,66%,86%,D,False,0.26175666,0.29198617,0.26024878,0.18600844
"As of 2019, about what percentage of French people say God plays an important role in their life?",11%,31%,51%,71%,B,False,0.30792248,0.27896905,0.24822056,0.16488788
"As of 2017, the share of GDP spent on the military by the United States is about",1%,3%,6%,10%,B,True,0.21771201,0.30863073,0.27220362,0.20145366
"As of 2017, the share of global deaths by suicide is about",0.70%,1.40%,2.80%,5.60%,B,True,0.26541045,0.31375277,0.2515517,0.16928501
Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included,artificial political boundaries that covered diverse ethnic groups with little in common,inadequate access to higher education and training for nationals under the colonial administration,control of domestic commerce by foreign minority groups which had been brought in by the colonial power,all of the above,D,True,0.18391779,0.2157591,0.2972281,0.303095
Which of the following mental disorders is most prevalent in the world?,Bipolar disorder,Schizophrenia,Alcohol use disorders,Anxiety disorders,D,False,0.22974868,0.31374484,0.30904686,0.1474596
"As of 2017, how many people in the world have some access to electricity?",60%,70%,80%,90%,C,False,0.2734014,0.35408857,0.24421361,0.12829645
Before Nixon resigned how many believed he should be removed from office?,79%,98%,33%,57%,D,False,0.24504893,0.33821556,0.22655843,0.19017714
