0,1,2,3,4,5,/rlhf-fixed-llama-v3-bs-16_correct,/rlhf-fixed-llama-v3-bs-16_choiceA_probs,/rlhf-fixed-llama-v3-bs-16_choiceB_probs,/rlhf-fixed-llama-v3-bs-16_choiceC_probs,/rlhf-fixed-llama-v3-bs-16_choiceD_probs
 What can murtis be translated as?,Offerings,Prayers,Apparitions,Idols,D,False,0.31761158,0.17322904,0.2224428,0.28671658
 Naturalists who concentrated on natural elements and processes are associated with which of the following?,Daoism,Yin-Yang School,Mengzi,Humanistic Buddhism,B,False,0.24412824,0.23363762,0.23841207,0.28382206
 When was the first Buddhist temple constructed in Japan?,325 CE,119 CE,451 CE,596 CE,D,False,0.26770687,0.2645254,0.24129732,0.22647041
 What is the name of the ten day New Year festival that celebrated Babylon's culture?,Akitu,Wag and Thoth,Bast,Nehebkau,A,True,0.29018217,0.25505584,0.20751086,0.24725103
Which of the following terms denote the Japanese art of flower arranging?,Zazen,Tariki,Kami,Ikebana,D,True,0.24008307,0.15387048,0.20634334,0.3997031
 Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?,Harmony and balance,Devotion and piety,Love and passion,Goodwill and love,A,True,0.31745175,0.23952232,0.19173467,0.25129125
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",Shabad,Khalse,Nam,Guru,A,True,0.39616394,0.24330959,0.151672,0.20885453
What is the mi'raj?,Muhammad's miraculous ascent to heaven,Muhammad's migration to Mecca,Muhammad's first community in Mecca,Muhammad's revelations of the Qur'an,A,True,0.3561986,0.14086953,0.18383051,0.31910136
"What is the name of the most famous dharmashastras, which probably dates from around the first century?",Laws of Dharma,Laws of Karma,Laws of Vishnu,Laws of Manu,D,False,0.3213254,0.20054215,0.24698743,0.23114511
"What does the term ""Qur'an"" literally mean?",The Holy Book,The Narrative,The Recitation,The Pillars,C,False,0.37127703,0.16805328,0.22628841,0.23438133
 Mani referred to God by which of the following names?,Mother of Light,Father of Goodness,Ineffable Lover,Eternal Spirit,B,False,0.30541617,0.19287099,0.24191903,0.25979382
" Which tradition is known to promote ""gradual enlightenment""?",Bushido,Shinto,Nichiren,Soto Zen,D,False,0.19015084,0.1892676,0.31507093,0.3055106
What is the communal meal offered at the place of worship called in Sikhism?,Sangat,Langar,Gurdwara,Panth,B,True,0.2556858,0.35019106,0.183656,0.2104671
To which tradition do the anti-Han rebel group known as the Celestial Masters belong?,Buddhism,Daoism,Confucianism,Shamanism,B,True,0.25635552,0.26669064,0.23169248,0.24526134
"What does the word ""Islam"" mean in Arabic?",Worship,Submission,Obedience,Faith,B,False,0.3639001,0.22698697,0.13786139,0.27125156
What does the term anatman mean?,Suffering,Soul,Impermanence,No-self,D,True,0.1523952,0.15527472,0.32808518,0.3642449
 What genre of Sikh literature is denoted by the term janam-sakhis?,Spiritual narratives,Redemption narratives,Birth narratives,Theological narratives,C,False,0.35554856,0.19955958,0.23513238,0.20975946
Pure Land Buddhism belongs to which school?,Vajrayana,Theravada,Mahayana,Mahavira,C,True,0.17586157,0.21904199,0.35862073,0.24647573
 Which Jaina group only allows women to lead a life of semi-renunciation?,Svetambara,Jina,Agama,Digambara,D,False,0.33098608,0.21706267,0.20726728,0.24468401
What is the most important prayer in Judaism?,The Shema,The Sefirot,Deuteronomy,The Decalogue,A,True,0.45157078,0.2114198,0.14576876,0.19124065
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,Brahminic orthodoxy,Legalistic asceticism,Bhakti devotionals,Unorthodox practices,A,True,0.2985878,0.2187876,0.25868532,0.22393925
 Which early battle led to the conversion of Mecca?,The Battle of Uhud,The Battle of Camel,The Battle of the Trench,The Battle of Badr,C,False,0.30909663,0.22202837,0.22856961,0.2403054
 What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,Remembering the Divine Name,Meditating on the sacred hymns,Remembering that death is inevitable,Meditating on the goodness of the created world,A,False,0.2478056,0.21887252,0.22242403,0.3108979
" During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",Confucianism,Buddhism,Christianity,Daoism,A,True,0.26874176,0.24862184,0.24138333,0.24125306
"What is the meaning of the Punjabi word ""Sikh""?",Disciple,Faithful,Devotee,Enlightened,A,True,0.32581773,0.18624365,0.221776,0.26616266
 Which of the following shuns politics?,The sages of the Zhuangzi,The Songs of the South,The Duke of Zhou,"The Confucian ""sage kings""",A,False,0.20655607,0.21728876,0.27524567,0.30090955
What does the Hebrew word mashiach mean?,Anointed one,God,Prophet,The line of David,A,True,0.39479384,0.1668897,0.18628086,0.2520356
"According to Jaina traditions, what does the term ajiva mean?",Soul,Sound,Non-matter,Non-soul,D,True,0.28715602,0.19397326,0.22292016,0.29595053
" In the Japanese Zen tradition, what is zazen?",A collection of statues,Veneration of ancestors,Seated meditation,Funeral rituals,C,True,0.09105948,0.09936983,0.54162556,0.26794517
 What is a central component of tantric Buddhism?,Asceticism,Bodily pleasure,Music,Sexual union,D,True,0.17568935,0.16015962,0.24450135,0.41964963
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",Loving and forgiving,Wrathful and merciful,Judging and vengeful,Transcendent and immanent,B,False,0.2794013,0.25299838,0.24223143,0.2253689
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia,Babylonia and Europe,Palestine and Spain,Spain and France,A,True,0.42291167,0.20185369,0.19731395,0.17792065
" In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism,Hinduism,Judaism,Islam,A,True,0.33939692,0.21874276,0.23899058,0.20286968
"According to Hindu tradition, which age are we in currently?",Kali yuga,Maha yuga,Krita yuga,Satya yuga,A,True,0.33744177,0.20080125,0.21642084,0.24533613
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,True,0.42439282,0.19811454,0.17264044,0.20485221
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,False,0.25800225,0.16410573,0.22861789,0.34927416
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,True,0.37527296,0.19399069,0.18862711,0.24210918
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,False,0.31304687,0.21737003,0.22252056,0.24706253
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.38315845,0.23898226,0.16627803,0.21158122
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,True,0.24392793,0.2874239,0.2900835,0.17856467
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,False,0.33824044,0.20448712,0.24650382,0.21076868
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.21201247,0.2272333,0.28974026,0.271014
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.5409973,0.19830751,0.197383,0.06331221
When was the current Dalai Lama born?,1935,2000,1965,1975,A,True,0.33938047,0.18902919,0.30398145,0.16760895
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.2304738,0.18524426,0.31159323,0.27268878
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,False,0.27176154,0.2744457,0.2264675,0.22732525
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,True,0.45366755,0.16507332,0.16988376,0.21137537
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,False,0.11508061,0.24470657,0.35569233,0.28452048
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,True,0.25872234,0.23891921,0.25843826,0.24392022
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,False,0.28100365,0.23141949,0.2647298,0.22284703
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,True,0.3191529,0.17912759,0.23550908,0.26621044
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,True,0.26890957,0.3134483,0.21028596,0.20735615
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,False,0.25525784,0.26987973,0.21700713,0.25785524
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,False,0.3171474,0.23606186,0.24104854,0.20574214
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,True,0.25891155,0.24664316,0.2568864,0.23755887
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,True,0.35152167,0.21379548,0.22159034,0.21309239
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,False,0.23651834,0.26894802,0.29285327,0.20168033
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.25550342,0.2777942,0.30914322,0.15755917
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,True,0.22652173,0.22460979,0.27246195,0.27640653
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,True,0.2869676,0.24878736,0.2159413,0.24830382
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,False,0.32825154,0.28524753,0.21768807,0.16881286
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.30575845,0.2393658,0.23961887,0.21525683
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.27495584,0.31862965,0.23831144,0.1681031
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.19407219,0.23196939,0.29008594,0.28387243
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.2734278,0.3111431,0.23644663,0.17898245
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.28980193,0.372167,0.19050206,0.14752902
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,True,0.32862243,0.24933846,0.20746246,0.21457657
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,False,0.21647489,0.27566206,0.23839507,0.269468
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.41787174,0.13793306,0.1916118,0.25258335
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,False,0.3119124,0.18927646,0.24254167,0.2562694
 How many books are in the New Testament?,30,29,27,47,C,True,0.21889275,0.20873751,0.289616,0.28275383
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,False,0.25093004,0.17068392,0.27199623,0.30638984
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,False,0.20096944,0.22364752,0.2345362,0.3408468
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.3418706,0.25843132,0.16586074,0.23383737
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.2000459,0.2997345,0.31005648,0.19016306
How many Jinas have appeared during our age?,7,42,24,13,C,False,0.2421066,0.2080436,0.26618725,0.28366256
