0,1,2,3,4,5,/llama-instruct-12379_correct,/llama-instruct-12379_choiceA_probs,/llama-instruct-12379_choiceB_probs,/llama-instruct-12379_choiceC_probs,/llama-instruct-12379_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.16045503,0.25778237,0.35123292,0.23052964
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,True,0.20359528,0.2879012,0.2624767,0.24602677
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.23426886,0.37278447,0.1404337,0.25251296
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.31439754,0.2886472,0.08993444,0.30702084
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.32729766,0.5373733,0.05289813,0.08243087
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,False,0.12732098,0.35784617,0.2919803,0.22285257
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.0721326,0.19015868,0.6424598,0.09524883
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,True,0.32206392,0.31098434,0.15096733,0.21598442
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.51125467,0.39285782,0.07065956,0.025227912
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,True,0.38344988,0.40092948,0.09294597,0.122674644
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,False,0.30871415,0.34468797,0.1330907,0.21350709
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,True,0.17494252,0.39025295,0.13195737,0.30284718
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,True,0.27862808,0.30687755,0.19242442,0.22207007
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.21587959,0.2606718,0.27088162,0.252567
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,False,0.18543722,0.3491815,0.26128703,0.2040942
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.3707255,0.4621125,0.06098021,0.10618182
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.32174462,0.2680295,0.16335636,0.24686949
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,True,0.55418116,0.2559756,0.040077038,0.14976618
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.3144894,0.3290356,0.13853069,0.21794434
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.66005653,0.15889683,0.018945297,0.16210127
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.2164339,0.4492101,0.17426182,0.16009413
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.46280167,0.38500586,0.08162268,0.07056987
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.30828962,0.31069332,0.13762131,0.24339573
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,True,0.25814265,0.4072953,0.13747166,0.19709042
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.2977804,0.4192486,0.13005267,0.15291832
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.31025213,0.3612674,0.16530186,0.1631786
What kind of animal is a peregrine?,moose,cat,bird,fish,C,False,0.18704057,0.48008442,0.20906636,0.12380867
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.062366903,0.21862558,0.65905786,0.059949756
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.3469331,0.3894184,0.11483751,0.14881104
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.50054204,0.28585324,0.06675249,0.1468522
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.36021265,0.3531054,0.14226612,0.14441584
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.2984962,0.3961959,0.1252107,0.18009719
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.47348788,0.43489572,0.032502286,0.05911403
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.3365967,0.41100127,0.10377082,0.14863123
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,False,0.0759084,0.50036806,0.27202308,0.15170051
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.15495062,0.28269362,0.37805507,0.18430065
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,False,0.22709078,0.3050448,0.25777215,0.21009234
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.26784417,0.42718762,0.1634687,0.14149952
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.26179838,0.48530126,0.08054792,0.17235239
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.29180402,0.28760403,0.16397502,0.25661692
