0,1,2,3,4,5,/rlhf-fixed-llama-instruct-bs-16_correct,/rlhf-fixed-llama-instruct-bs-16_choiceA_probs,/rlhf-fixed-llama-instruct-bs-16_choiceB_probs,/rlhf-fixed-llama-instruct-bs-16_choiceC_probs,/rlhf-fixed-llama-instruct-bs-16_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,True,0.2743657,0.18527511,0.30817947,0.23217969
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.2911447,0.23181595,0.26966572,0.20737363
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.22265601,0.14936249,0.339075,0.28890654
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.23831123,0.18776108,0.34787488,0.22605284
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.20455532,0.23886536,0.3425879,0.21399137
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.20176652,0.15438582,0.3725337,0.27131394
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,True,0.23596354,0.19730389,0.3625971,0.20413543
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.17832427,0.14133649,0.45178878,0.22855051
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.28434005,0.17767635,0.31379825,0.22418538
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.22169818,0.2755765,0.31825683,0.18446855
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,True,0.24878131,0.15857692,0.36164826,0.23099357
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.20614931,0.20467187,0.3776185,0.21156031
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.25316754,0.18166515,0.30545816,0.25970915
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.2349165,0.21349935,0.3093714,0.24221271
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,True,0.22866704,0.19571243,0.364301,0.21131954
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.2474898,0.21336785,0.34764525,0.19149715
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.18746161,0.1738475,0.40747103,0.23121987
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.29459047,0.19436139,0.30386642,0.20718174
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.2997395,0.16691674,0.29884383,0.2344999
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.21163054,0.1961553,0.3741721,0.2180421
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,True,0.20122062,0.17172225,0.3510016,0.27605557
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.2189356,0.16117884,0.38473162,0.23515391
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.2643799,0.17372155,0.28886917,0.27302936
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,True,0.2744987,0.16320872,0.34616724,0.21612531
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.17999677,0.22343695,0.32390305,0.2726632
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.22587828,0.1655662,0.3354387,0.2731168
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.18074343,0.13474254,0.39966363,0.28485036
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.16537625,0.15176415,0.35619658,0.32666305
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,False,0.23141731,0.1851605,0.34746942,0.23595278
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,False,0.19920936,0.16149306,0.27407253,0.36522502
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.28619525,0.1811519,0.35253078,0.18012208
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.30984893,0.2034133,0.3359224,0.15081546
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,False,0.19390714,0.16910462,0.4237794,0.21320878
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,True,0.1633126,0.122614,0.42555636,0.28851703
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,False,0.30805153,0.14944607,0.3650535,0.17744891
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,False,0.30688682,0.2355255,0.3220824,0.13550526
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,False,0.1978608,0.16876805,0.36145902,0.27191207
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,False,0.28824013,0.17736767,0.3117356,0.22265655
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,True,0.21578164,0.16207479,0.44549215,0.17665143
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,True,0.20182312,0.20182504,0.33109832,0.2652535
"The Sojourn family went on a vacation. They started with $2000. If they spent $150 each day, which expression represents how much money they had after x days?",1850x,2000 −150x,150x,2000 +150x,B,False,0.17608735,0.17078368,0.4019977,0.2511313
"A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 Which inequality represents the weight, w, of any book chosen from the shelf?",w > 2.3,w < 2.4,w > 3.2,w < 3.3,D,False,0.30171004,0.22798215,0.2822457,0.18806206
Which number has an absolute value greater than 5?,-6,-5,0,5,A,False,0.20418711,0.1983327,0.3266039,0.27087623
