0,1,2,3,4,5,/shf-v4-llama-10000-kl-0.35_correct,/shf-v4-llama-10000-kl-0.35_choiceA_probs,/shf-v4-llama-10000-kl-0.35_choiceB_probs,/shf-v4-llama-10000-kl-0.35_choiceC_probs,/shf-v4-llama-10000-kl-0.35_choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,False,0.2509736,0.29298615,0.29351473,0.16252548
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,False,0.30373663,0.27563906,0.22284836,0.19777603
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,True,0.22754143,0.32307976,0.23946412,0.20991468
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,False,0.26082712,0.25058252,0.23729381,0.2512966
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,False,0.16598435,0.24924473,0.37539446,0.20937653
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,False,0.24448785,0.25562453,0.27195734,0.22793032
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,True,0.26624104,0.24146739,0.21547003,0.27682155
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.2907286,0.26923975,0.3240764,0.11595528
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,True,0.27703407,0.29336742,0.22746469,0.20213386
A wave transfers,amplitude,wavelength,frequency,energy,D,False,0.31057903,0.31017587,0.21589886,0.16334617
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,False,0.27906206,0.2756915,0.2605365,0.18471
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,True,0.18706477,0.2604762,0.32460532,0.22785363
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,True,0.24572657,0.32842174,0.23567243,0.19017927
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,True,0.32239577,0.28333756,0.26048467,0.13378203
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,False,0.27559602,0.24246322,0.27538636,0.20655444
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,True,0.31468484,0.3083347,0.23580585,0.14117453
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,False,0.24383181,0.24450803,0.31520075,0.19645949
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,False,0.27588186,0.26920542,0.22877997,0.22613274
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.3422261,0.28455594,0.2012373,0.17198068
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,False,0.26792544,0.265505,0.2826011,0.18396851
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,True,0.30657098,0.20141995,0.21246652,0.27954257
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.23456502,0.30671337,0.2908488,0.16787283
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.30307135,0.25079104,0.23052451,0.2156131
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.312829,0.3169418,0.23379987,0.13642941
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,False,0.23260646,0.32704934,0.27409986,0.16624425
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.2930294,0.29426384,0.21568096,0.19702579
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.18312226,0.29342777,0.2911754,0.23227458
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.2891704,0.2677615,0.23077817,0.21228999
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.28503296,0.33421946,0.2458258,0.13492179
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.28989825,0.35856286,0.24432468,0.10721419
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.33501536,0.26917136,0.23642462,0.15938874
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.2676207,0.31309107,0.2557652,0.16352308
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.27885252,0.29190904,0.22751164,0.20172682
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,False,0.18190603,0.28198242,0.26310387,0.27300766
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,False,0.24081896,0.28725773,0.21338634,0.25853702
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,False,0.19256257,0.29764718,0.29266393,0.2171263
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,True,0.32933474,0.30527,0.24507946,0.120315865
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.21353687,0.35453045,0.24561353,0.18631911
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,True,0.25705087,0.26134,0.18738464,0.29422444
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,False,0.24407241,0.29490378,0.24918222,0.21184155
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,False,0.3509157,0.2286782,0.26626033,0.1541458
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,True,0.26070073,0.25810766,0.21468191,0.2665097
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,True,0.24973415,0.30993962,0.24730769,0.19301863
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.29214293,0.25642392,0.28736636,0.16406685
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.24955493,0.26157922,0.26405454,0.22481127
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,False,0.20396458,0.24739665,0.28426775,0.264371
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,False,0.30345514,0.23448302,0.2624638,0.19959806
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,True,0.1882267,0.28283674,0.25062296,0.2783137
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,True,0.30907714,0.3089357,0.24877049,0.13321671
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,False,0.21752694,0.2898754,0.31888604,0.17371164
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.29045978,0.26953006,0.3243906,0.115619585
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,True,0.34178442,0.33720577,0.21919057,0.10181922
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,True,0.3154605,0.3045564,0.22479723,0.15518591
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.17723124,0.32606333,0.29831046,0.19839494
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.23878846,0.35358024,0.21926469,0.18836655
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.22921716,0.35472745,0.22623494,0.18982051
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,True,0.1888332,0.2956372,0.34053668,0.17499295
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,True,0.23271184,0.30307496,0.28941578,0.17479748
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,False,0.27942884,0.31410497,0.19832659,0.20813964
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.29059565,0.29467234,0.24101843,0.17371365
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,False,0.27813378,0.3067693,0.23460378,0.18049316
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.2057051,0.34337994,0.2795858,0.17132907
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,False,0.42467892,0.32242,0.1808364,0.072064675
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,False,0.32411313,0.21851967,0.24496627,0.21240093
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,True,0.28616557,0.3355059,0.2183949,0.15993358
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,False,0.24091415,0.25794804,0.23231103,0.26882684
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,True,0.26883253,0.27210784,0.23313671,0.22592291
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.26108128,0.27960184,0.20196202,0.2573549
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,False,0.25802308,0.32596898,0.23029378,0.18571417
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,False,0.20862897,0.3257056,0.28398415,0.18168122
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,True,0.3089592,0.26013994,0.26799765,0.16290323
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,True,0.3233128,0.28189033,0.23279886,0.161998
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,False,0.19368024,0.28934884,0.2557584,0.26121253
