0,1,2,3,4,5,/llama-instruct-12379_correct,/llama-instruct-12379_choiceA_probs,/llama-instruct-12379_choiceB_probs,/llama-instruct-12379_choiceC_probs,/llama-instruct-12379_choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,False,0.22850199,0.31236035,0.31034362,0.14879405
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,False,0.29800394,0.28632587,0.21820655,0.1974636
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,True,0.20091045,0.363367,0.23128444,0.20443821
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,True,0.24875863,0.27711308,0.24314173,0.2309866
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,False,0.16457452,0.25601625,0.39567578,0.18373348
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,False,0.1930582,0.27593192,0.2861903,0.24481955
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,False,0.2934402,0.251271,0.20723344,0.24805531
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.2664931,0.28065956,0.3617631,0.091084324
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,True,0.25442475,0.29648295,0.23861092,0.21048144
A wave transfers,amplitude,wavelength,frequency,energy,D,False,0.3287601,0.2824645,0.2167028,0.17207268
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,True,0.22916043,0.32786483,0.27573517,0.16723959
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,True,0.16349159,0.22124167,0.3353734,0.2798934
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,True,0.23218998,0.35938427,0.22784935,0.18057641
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,True,0.30407196,0.2975572,0.27424228,0.12412857
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,False,0.2524932,0.26231113,0.28124705,0.20394863
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,False,0.24529219,0.33802673,0.26355693,0.15312417
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,False,0.24632499,0.25078025,0.34238848,0.1605064
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,True,0.26961234,0.28038564,0.23021218,0.21978986
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.34199488,0.28821498,0.19212332,0.17766674
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,False,0.23511209,0.25429437,0.33496058,0.17563297
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,True,0.29091567,0.20519093,0.21570045,0.28819293
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.25137967,0.3083989,0.2991483,0.1410731
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.3419746,0.24952629,0.21366902,0.19483006
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.30542016,0.3226409,0.24894218,0.12299673
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,False,0.22210574,0.35897142,0.26351774,0.15540506
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.26387915,0.33090034,0.22786845,0.17735212
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.1555776,0.3500269,0.28722057,0.20717494
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.29573783,0.26927853,0.23168585,0.20329776
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.26734194,0.37635374,0.24438198,0.111922294
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.2424068,0.41185346,0.2546213,0.0911185
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.31216142,0.2861649,0.25128558,0.15038814
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.31207806,0.30244297,0.23349994,0.151979
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.25054154,0.32461032,0.24182926,0.18301888
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,False,0.17348133,0.2854915,0.2676604,0.27336675
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,False,0.23841967,0.3184802,0.21275206,0.23034804
