0,1,2,3,4,5,/rlhf-fixed-llama-instruct-bs-16_correct,/rlhf-fixed-llama-instruct-bs-16_choiceA_probs,/rlhf-fixed-llama-instruct-bs-16_choiceB_probs,/rlhf-fixed-llama-instruct-bs-16_choiceC_probs,/rlhf-fixed-llama-instruct-bs-16_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.18338348,0.28170136,0.2994694,0.23544572
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.2242327,0.26102698,0.2693709,0.24536936
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.2542169,0.38090774,0.13185304,0.2330224
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.33007005,0.31247783,0.07417569,0.28327644
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.35624757,0.5362465,0.03485968,0.07264619
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,False,0.1421027,0.39132077,0.27964354,0.18693303
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.10945317,0.21844347,0.55118585,0.120917454
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.32744145,0.3370497,0.14528325,0.19022562
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.4901857,0.4217428,0.06379435,0.024277188
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.43994477,0.3657811,0.077347845,0.11692627
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,False,0.32447022,0.35669675,0.114218034,0.20461506
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,True,0.18681619,0.4406735,0.13905711,0.23345321
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,True,0.2928773,0.31275433,0.15735637,0.23701194
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,True,0.24853492,0.26633662,0.22567509,0.25945336
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,False,0.22232746,0.3667742,0.26631352,0.1445849
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.4089126,0.42433736,0.05886418,0.10788582
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.33244497,0.25914752,0.15992253,0.248485
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,True,0.576195,0.31438094,0.04747366,0.0619504
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.3201952,0.33576527,0.124872096,0.21916738
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.55476654,0.2092636,0.03770657,0.19826326
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.20865472,0.482538,0.16254477,0.14626247
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.4907696,0.30751258,0.108982086,0.09273567
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.34213215,0.30860996,0.093608856,0.25564906
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,True,0.28734684,0.40128905,0.1262346,0.18512951
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.34153396,0.4385425,0.09157368,0.12834987
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.34577698,0.36120084,0.14055595,0.15246613
What kind of animal is a peregrine?,moose,cat,bird,fish,C,False,0.19390383,0.45676982,0.22003722,0.12928906
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.06612083,0.23387296,0.63666576,0.063340485
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.45327127,0.30145693,0.12340564,0.12186607
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.43582922,0.35895973,0.07546827,0.12974279
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.33494106,0.37835258,0.12373393,0.1629725
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.2882953,0.412871,0.13051443,0.16831934
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.46695638,0.43465802,0.03069689,0.06768872
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.3297155,0.39028525,0.12620804,0.1537912
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,False,0.13431507,0.46306032,0.24762112,0.15500346
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.17865239,0.28032726,0.3106321,0.23038824
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,False,0.21574977,0.33596775,0.25381854,0.19446398
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.2854947,0.47232357,0.12760419,0.114577554
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.28210637,0.49651834,0.062003296,0.15937202
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.29855463,0.27489352,0.16193418,0.26461777
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.25559717,0.44004986,0.036929525,0.26742348
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,False,0.30547044,0.3245272,0.13664167,0.23336062
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,True,0.2469986,0.2921205,0.21515061,0.24573033
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.42476156,0.4554237,0.067675,0.05213972
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.25480434,0.35295334,0.12887585,0.26336646
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.30818895,0.33588946,0.12503007,0.23089153
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.37273657,0.26050207,0.15563123,0.21113008
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,False,0.38761413,0.39598882,0.09235469,0.12404237
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.29180625,0.3243453,0.15593277,0.2279157
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,False,0.20288518,0.35567614,0.21787088,0.22356781
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.17351958,0.47731522,0.09444989,0.25471526
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,False,0.38458964,0.42758414,0.07643909,0.111387216
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.2874028,0.3773633,0.07280888,0.26242498
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.40726095,0.45385346,0.070777826,0.06810779
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,True,0.27600336,0.27979103,0.17273103,0.27147463
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.3676133,0.29767278,0.1773557,0.15735817
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.32837066,0.396306,0.080206364,0.19511694
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.2519446,0.56122726,0.04962465,0.13720347
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.2309571,0.6545011,0.049697008,0.064844936
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.4581074,0.41988456,0.053216524,0.068791546
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.25850457,0.2606583,0.27158356,0.20925356
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.23162623,0.31614536,0.22286454,0.22936389
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.24669318,0.34990755,0.11544736,0.28795183
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,False,0.23213159,0.3272419,0.1347699,0.30585667
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.26357296,0.3520309,0.17512494,0.20927115
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.5272951,0.36501265,0.0713136,0.03637871
