0,1,2,3,4,5,/shf-v4-llama-instruct-10k-kl-0.35_correct,/shf-v4-llama-instruct-10k-kl-0.35_choiceA_probs,/shf-v4-llama-instruct-10k-kl-0.35_choiceB_probs,/shf-v4-llama-instruct-10k-kl-0.35_choiceC_probs,/shf-v4-llama-instruct-10k-kl-0.35_choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,False,0.24758704,0.29676294,0.3294674,0.1261826
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,False,0.28788936,0.28497908,0.23571403,0.19141752
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,True,0.20970252,0.36217108,0.2354814,0.19264501
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,False,0.26924798,0.24660878,0.2526718,0.2314714
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,False,0.15295497,0.2657007,0.4158413,0.16550304
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,False,0.20308591,0.2864899,0.3200937,0.1903305
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,False,0.26197967,0.24871576,0.22961637,0.2596882
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.29186133,0.28710416,0.3569166,0.064117946
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,True,0.25144622,0.31235206,0.25036994,0.1858318
A wave transfers,amplitude,wavelength,frequency,energy,D,False,0.32633477,0.3255558,0.23300976,0.115099624
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,True,0.26678595,0.31080097,0.28518525,0.13722777
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,True,0.15302956,0.21167377,0.3967574,0.2385393
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,True,0.25892526,0.34419993,0.23270728,0.1641675
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,True,0.32822597,0.28352058,0.27844968,0.10980382
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,False,0.26891938,0.24386625,0.29849327,0.1887211
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,False,0.2926551,0.32418072,0.26697016,0.1161941
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,False,0.25514314,0.23872712,0.36121982,0.14490998
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,True,0.25084242,0.29765385,0.2537862,0.1977175
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.34352547,0.30013615,0.20281944,0.15351897
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,False,0.23954941,0.26551333,0.35043415,0.1445031
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,True,0.28719684,0.2078782,0.22557177,0.2793532
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.22028673,0.33022943,0.32025072,0.12923315
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.3215316,0.250923,0.23373258,0.19381286
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.31336865,0.3367821,0.24279816,0.10705113
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,False,0.2181168,0.34764934,0.29353678,0.1406971
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.28522143,0.32242182,0.22012728,0.17222942
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.17236634,0.30370155,0.30666026,0.21727186
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.31003368,0.27528405,0.231391,0.1832913
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.27502644,0.36501858,0.25571552,0.10423943
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.26590854,0.39804164,0.2581815,0.077868395
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.3375822,0.27667987,0.25543013,0.13030776
