0,1,2,3,4,5,/llama-7b_correct,/llama-7b_choiceA_probs,/llama-7b_choiceB_probs,/llama-7b_choiceC_probs,/llama-7b_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.29806942,0.22859311,0.24897034,0.22436722
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.2938588,0.2632506,0.24232268,0.2005679
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.24485137,0.19890638,0.2855301,0.27071217
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.2467886,0.22035827,0.2912271,0.24162601
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.21782413,0.26770604,0.29323742,0.2212324
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.21833105,0.20219684,0.31405208,0.26542002
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,True,0.24162374,0.21912482,0.30507946,0.23417188
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.23374422,0.19844311,0.34118345,0.22662917
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.29038224,0.22340012,0.2726734,0.21354426
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.24677706,0.2895563,0.26698032,0.1966863
